event_name;athlete_name;club_name;rank_position;result_time_text;result_time_ms;status;source_id
Women 25-29 50 LC Meter Butterfly;Dave, Gisela;Aquaclub Maipu;1;35,93;35930;valid;1
Women 25-29 50 LC Meter Butterfly;Mellado, Ana Laura;Aquaclub Maipu;2;36,07;36070;valid;1
Women 25-29 50 LC Meter Butterfly;Ubilla, Catalina;Penalolen Master;3;38,68;38680;valid;1
Women 25-29 50 LC Meter Butterfly;Araya, Sofia;100 por Ciento Swim;4;44,04;44040;valid;1
Women 25-29 50 LC Meter Butterfly;Tapia, Maria Jesus;Natacion Master Recoleta;5;53,97;53970;valid;1
Women 25-29 50 LC Meter Butterfly;Farias, Thiare;Pedro Aguirre Cerda;6;54,18;54180;valid;1
Women 25-29 50 LC Meter Butterfly;Carter, Daniela;Penalolen Master;7;54,40;54400;valid;1
Men 30-34 200 LC Meter IM;Castellano, Ricardo;Nunoa Master;1;02:48,30;168300;valid;1
Men 30-34 200 LC Meter IM;Sayago, Alexis;Nunoa Master;2;03:20,24;200240;valid;1
Men 30-34 200 LC Meter IM;Miranda, Milanch;Calambre Swim Team;3;03:50,37;230370;valid;1
Women 25-29 200 LC Meter IM;Mellado, Ana Laura;Aquaclub Maipu;1;03:12,93;192930;valid;1
Women 25-29 200 LC Meter IM;Ubilla, Catalina;Penalolen Master;2;03:16,40;196400;valid;1
Women 25-29 200 LC Meter IM;Nunez, Manuela;Master Providencia;3;03:23,89;203890;valid;1
Women 25-29 200 LC Meter IM;Rivera, Sofia;Calambre Swim Team;4;03:31,88;211880;valid;1
Women 25-29 200 LC Meter IM;Araya, Sofia;100 por Ciento Swim;5;03:37,32;217320;valid;1
Women 25-29 200 LC Meter IM;Carter, Daniela;Penalolen Master;6;04:27,27;267270;valid;1
