name,short_name,city,region,source_id
Santiago Deportes,,,,2
Nunoa Master,,,,2
Goura Swim Team,,,,2
CS Maipu,,,,2
Lozada Swim Team,,,,2
Stadio Italiano,,,,2
Aquamaster Chillan,,,,2
Master Vitacura,,,,2
Manateam Swim,,,,2
Condrictios Team,,,,2
Orinoco Swim Team,,,,2
Aguila Natacion,,,,2
Squadra Proswim,,,,2
Golden,,,,2
H2o,,,,2
Delfines de las Condes,,,,2
Lo Que Boto La Ola,,,,2
Estadio Istaerlita,,,,2
Youtopia,,,,2
Ironswim Master,,,,2
Master U de Chile,,,,2
Natacion Buin,,,,2
Master Providencia,,,,2
Natacion Master Recoleta,,,,2
Aquateam,,,,2
Master San Bernardo,,,,2
Estadio Español,,,,2
Cien por Ciento Swim,,,,2
Club Deportivo UC,,,,2
Fullmar,,,,2
Tiburones de Curico,,,,2
Africa Natacion,,,,2
Calambre Swim Team,,,,2
Copiapo Swim,,,,2
Mantarrayas Arica,,,,2
Master Ñuble,,,,2
Penalolen Master,,,,2
